Depth,Gamma,K,U,TH,MagSusc
0.82,15.28998,0.1868161,0.969505,5.120497,-0.02552441
0.83,15.19632,0.1892205,0.9698518,5.144538,-0.03580689
0.83,15.10266,0.191625,0.9701985,5.16858,-0.04764448
0.83,15.009,0.1940293,0.9705452,5.19262,-0.06073286
0.83,14.91197,0.1962693,0.9707631,5.212695,-0.07477024
0.83,14.80484,0.198016,0.9705942,5.22087,-0.08935524
0.83,14.69771,0.1997627,0.9704254,5.229044,-0.1038414
0.84,14.59059,0.2015093,0.9702566,5.237219,-0.1176877
0.84,14.48346,0.203256,0.9700877,5.245394,-0.130358
0.84,14.37633,0.2050027,0.9699188,5.25357,-0.1413217
0.84,14.26919,0.2067495,0.96975,5.261745,-0.150126
0.84,14.18735,0.2079272,0.9696833,5.261946,-0.156349
0.84,14.10551,0.209105,0.9696167,5.262146,-0.1603004
0.84,14.02366,0.2102827,0.96955,5.262347,-0.162332
0.85,13.94181,0.2114605,0.9694833,5.262548,-0.1628491
0.85,13.85996,0.2126383,0.9694166,5.262749,-0.1622597
0.85,13.77812,0.213816,0.9693499,5.262949,-0.1610075
0.85,13.70574,0.2146406,0.9693033,5.26309,-0.1596535
0.85,13.63654,0.2153473,0.9692633,5.26321,-0.1586042
0.85,13.56733,0.216054,0.9692233,5.26333,-0.1581852
0.86,13.49812,0.2167607,0.9691833,5.26345,-0.1586569
0.86,13.42892,0.2174673,0.9691433,5.26357,-0.1602786
0.86,13.35971,0.218174,0.9691033,5.26369,-0.1633115
0.86,13.311,0.2188829,0.9690633,5.263812,-0.1676678
0.86,13.28281,0.2195942,0.9690233,5.263937,-0.1731593
0.86,13.25463,0.2203054,0.9689832,5.264061,-0.1794703
0.87,13.22644,0.2210167,0.9689432,5.264185,-0.1860778
0.87,13.19826,0.221728,0.9689032,5.26431,-0.1924542
0.87,13.17007,0.2224392,0.9688632,5.264434,-0.1980682
0.87,13.15366,0.2233298,0.9688143,5.26459,-0.2024805
0.87,13.17241,0.2247564,0.9687388,5.264839,-0.2053118
0.87,13.19116,0.2261831,0.9686633,5.265088,-0.2063198
0.88,13.20992,0.2276097,0.9685877,5.265337,-0.2053686
0.88,13.22867,0.2290363,0.9685122,5.265585,-0.202367
0.88,13.24742,0.230463,0.9684367,5.265834,-0.1972214
0.88,13.26617,0.2318889,0.9683611,5.266083,-0.1898969
0.88,13.28493,0.2342678,0.9682366,5.266496,-0.1804018
0.88,13.30368,0.2366456,0.9681122,5.26691,-0.1691993
0.88,13.32243,0.2390232,0.9679878,5.267323,-0.156713
0.89,13.34119,0.241401,0.9678633,5.267737,-0.1433818
0.89,13.35994,0.2437787,0.9677389,5.26815,-0.1296085
0.89,13.37869,0.2461565,0.9676144,5.268564,-0.1157846
0.89,13.40327,0.2492479,0.9674533,5.2691,-0.1022441
0.89,13.42979,0.2525766,0.96728,5.269678,-0.08907317
0.89,13.45631,0.2559055,0.9671066,5.270256,-0.076348
0.90,13.48283,0.2592342,0.9669333,5.270833,-0.06427167
0.90,13.50935,0.2625631,0.9667599,5.27141,-0.05303084
0.90,13.53587,0.2658918,0.9665866,5.271988,-0.04285714
0.90,13.55659,0.2696965,0.9663888,5.272648,-0.03371532
0.90,13.57151,0.2739763,0.9661666,5.27339,-0.02563695
0.90,13.58642,0.2782563,0.9659444,5.274133,-0.0186863
0.91,13.60134,0.2825361,0.9657221,5.274875,-0.01303991
0.91,13.61625,0.2868161,0.9654999,5.275618,-0.008869153
0.91,13.63117,0.291096,0.9652777,5.27636,-0.006342935
0.91,13.64437,0.2956137,0.9650433,5.277143,-0.005753645
0.91,13.65245,0.3008448,0.9647722,5.27805,-0.007329985
0.91,13.66053,0.3060757,0.9645011,5.278956,-0.01104137
0.92,13.66861,0.3113067,0.9642299,5.279863,-0.01667076
0.92,13.67668,0.3165376,0.9639589,5.280769,-0.02395023
0.92,13.68476,0.3217687,0.9636878,5.281676,-0.03260445
0.92,13.69284,0.327,0.9634166,5.282583,-0.0423478
0.92,13.68724,0.3322307,0.96315,5.283485,-0.0528378
0.92,13.68164,0.3374616,0.9628834,5.284387,-0.06356678
0.92,13.67603,0.3426926,0.9626167,5.285289,-0.07407398
0.93,13.67043,0.3479237,0.9623501,5.286191,-0.08394771
0.93,13.66483,0.3531546,0.9620834,5.287094,-0.09279627
0.93,13.65923,0.3583857,0.9618167,5.287996,-0.100254
0.93,13.62893,0.3629034,0.9615868,5.288774,-0.1060991
0.93,13.59038,0.3671834,0.961369,5.289513,-0.1104521
0.93,13.55184,0.3714632,0.9611512,5.29025,-0.1135675
0.94,13.51329,0.3757432,0.9609334,5.290988,-0.1156581
0.94,13.47475,0.380023,0.9607157,5.291726,-0.116936
0.94,13.43621,0.384303,0.9604979,5.292464,-0.1176161
0.94,13.39093,0.3877859,0.9603356,5.289196,-0.1180077
0.94,13.33891,0.3904708,0.9602289,5.281914,-0.1183095
0.94,13.2869,0.3931558,0.9601222,5.274632,-0.1186069
0.95,13.23488,0.3958406,0.9600156,5.267352,-0.1189955
0.95,13.18286,0.3985256,0.9599089,5.26007,-0.1195707
0.95,13.13085,0.4012104,0.9598022,5.252789,-0.1204269
0.95,13.09571,0.4033347,0.959739,5.241529,-0.1214778
0.95,13.11104,0.4037836,0.9598057,5.218379,-0.1225975
0.95,13.12637,0.4042325,0.9598723,5.195228,-0.1237291
0.96,13.1417,0.4046814,0.959939,5.172078,-0.1246473
0.96,13.15704,0.4051303,0.9600057,5.148927,-0.1250754
0.96,13.17237,0.4055791,0.9600723,5.125777,-0.1247356
0.96,13.18769,0.4060278,0.960139,5.102639,-0.1234074
0.96,13.2704,0.4035954,0.9559946,5.055739,-0.120925
0.96,13.35307,0.4011643,0.9518524,5.008864,-0.1171049
0.96,13.43574,0.3987332,0.9477102,4.961989,-0.1119186
0.97,13.5184,0.3963022,0.9435682,4.915115,-0.1054847
0.97,13.60107,0.3938711,0.939426,4.86824,-0.09794395
0.97,13.68374,0.3914401,0.935284,4.821367,-0.0894063
0.97,13.771,0.3873314,0.9312714,4.762581,-0.07995369
0.97,13.85979,0.3826648,0.9273022,4.699836,-0.07000528
0.97,13.94858,0.3779981,0.9233328,4.637089,-0.06007185
0.98,14.03737,0.3733316,0.9193636,4.574344,-0.05069511
0.98,14.12616,0.3686649,0.9153941,4.511597,-0.04239915
0.98,14.21495,0.3639983,0.9114249,4.448852,-0.03574135
0.98,14.3068,0.3587713,0.9074978,4.382135,-0.031256
0.98,14.40171,0.3529845,0.9036128,4.311454,-0.02917701
0.98,14.49661,0.3471979,0.899728,4.240775,-0.02942737
0.99,14.59152,0.3414112,0.8958431,4.170094,-0.03179118
0.99,14.68643,0.3356246,0.8919583,4.099415,-0.03605537
0.99,14.78133,0.3298379,0.8880733,4.028734,-0.04201335
0.99,14.88297,0.3238901,0.8842041,3.956091,-0.04927466
0.99,15.00481,0.3174589,0.8803814,3.877557,-0.05740277
0.99,15.12665,0.311028,0.8765588,3.799025,-0.06593478
1.00,15.24849,0.3045968,0.8727362,3.72049,-0.07437123
1.00,15.37033,0.2981658,0.8689136,3.641959,-0.0822193
1.00,15.49217,0.2917346,0.8650908,3.563424,-0.08897124
1.00,15.61401,0.2853034,0.8612682,3.48489,-0.09428477
1.00,15.75667,0.2795166,0.8573833,3.414208,-0.09795297
1.00,15.89932,0.2737302,0.8534986,3.343533,-0.1000649
1.00,16.04198,0.2679435,0.8496136,3.272851,-0.1007422
1.01,16.18465,0.2621567,0.8457287,3.20217,-0.1001467
1.01,16.32731,0.2563699,0.8418437,3.131489,-0.09843989
1.01,16.46996,0.2505836,0.8379591,3.060813,-0.09578638
1.01,16.48958,0.2462398,0.8339342,3.007797,-0.09235766
1.01,16.46815,0.2423774,0.8298626,2.960675,-0.08839784
1.01,16.44671,0.2385151,0.8257909,2.913554,-0.0841475
1.02,16.42528,0.2346528,0.8217193,2.866433,-0.07980634
1.02,16.40384,0.2307907,0.8176481,2.819315,-0.07557689
1.02,16.38241,0.2269284,0.8135765,2.772193,-0.07165346
1.02,16.30288,0.2246717,0.8137916,2.744693,-0.06810054
1.02,16.16518,0.2240225,0.8182985,2.736836,-0.06490101
1.02,16.02749,0.2233734,0.8228052,2.72898,-0.06195473
