Depth,Gamma,K,U,TH,MagSusc
1.8,18.9235,0.0613,2.3842,0.9990,-0.0388
1.8,19.5650,0.0613,2.3827,0.9990,-0.0568
1.8,18.2820,0.0626,2.3203,0.9990,-0.0325
1.8,19.5650,0.0626,2.3175,0.9990,-0.0687
1.8,17.6406,0.0638,2.2565,0.9990,-0.0263
1.8,19.5650,0.0638,2.2522,0.9990,-0.0805
1.81,19.5650,0.0651,2.1869,0.9990,-0.0924
1.81,19.5650,0.0664,2.1216,0.9990,-0.1042
1.81,19.5650,0.0677,2.0563,0.9990,-0.1132
1.81,17.7512,0.0690,1.9909,0.9990,-0.1108
1.81,15.3317,0.0702,1.9255,0.9990,-0.1000
1.81,12.9122,0.0715,1.8601,0.9990,-0.0891
1.82,10.4927,0.0728,1.7946,0.9990,-0.0782
1.82,8.0732,0.0741,1.7292,0.9990,-0.0673
1.82,5.6539,0.0754,1.6637,0.9990,-0.0573
1.82,5.4805,0.0760,1.6310,0.9990,-0.0524
1.82,7.5519,0.0760,1.6310,0.9990,-0.0553
1.82,9.6233,0.0760,1.6310,0.9990,-0.0582
1.83,11.6946,0.0760,1.6310,0.9990,-0.0611
1.83,13.7660,0.0760,1.6310,0.9990,-0.0640
1.83,15.8374,0.0760,1.6310,0.9990,-0.0668
1.83,17.3909,0.0760,1.6310,0.9990,-0.0626
1.83,17.3909,0.0760,1.6310,0.9990,-0.0368
1.83,17.3909,0.0760,1.6310,0.9990,-0.0111
1.84,17.3909,0.0760,1.6310,0.9990,0.0147
1.84,17.3910,0.0760,1.6310,0.9990,0.0405
1.84,17.3910,0.0760,1.6310,0.9990,0.0662
1.84,17.3910,0.0760,1.6310,0.9990,0.0887
1.84,19.2304,0.0760,1.6310,0.9990,0.1000
1.84,21.0701,0.0760,1.6310,0.9990,0.1080
1.84,22.9097,0.0760,1.6310,0.9990,0.1160
1.85,24.7493,0.0760,1.6310,0.9990,0.1240
1.85,26.5889,0.0760,1.6310,0.9990,0.1320
1.85,28.4286,0.0760,1.6310,0.9990,0.1370
1.85,25.9450,0.0760,1.6310,0.9990,0.1298
1.85,22.0182,0.0760,1.6310,0.9990,0.1134
1.85,18.0917,0.0760,1.6310,0.9990,0.0971
1.86,4.3485,0.0728,1.7946,0.9990,0.0956
1.86,4.3487,0.0741,1.7292,0.9990,0.0733
1.86,4.3488,0.0754,1.6637,0.9990,0.0511
1.86,14.1649,0.0760,1.6310,0.9990,0.0808
1.86,10.2382,0.0760,1.6310,0.9990,0.0645
1.86,6.3114,0.0760,1.6310,0.9990,0.0506
1.87,13.9828,0.0680,2.0400,0.9990,0.1848
1.87,9.7007,0.0680,2.0400,0.9990,0.1822
1.87,5.4187,0.0680,2.0400,0.9990,0.1796
1.87,4.3481,0.0690,1.9909,0.9990,0.1623
1.87,4.3482,0.0702,1.9255,0.9990,0.1401
1.87,4.3484,0.0715,1.8600,0.9990,0.1178
1.88,31.1110,0.0680,2.0400,0.9990,0.1914
1.88,29.3335,0.0680,2.0400,0.9990,0.1784
1.88,27.5558,0.0680,2.0400,0.9990,0.1617
1.88,25.7780,0.0680,2.0400,0.9990,0.1451
1.88,22.5466,0.0680,2.0400,0.9990,0.1899
1.88,26.8286,0.0680,2.0400,0.9990,0.1924
1.88,18.2645,0.0680,2.0400,0.9990,0.1873
1.89,20.0000,0.0706,2.0501,0.9990,0.0699
