Depth,PenRate,PercPress,FeedPress,FlushAirPress,RotPress,DampPress
4.061,2.265,190.274,83.806,7.528,61.036,68.136
4.082,2.228,190.631,82.815,7.528,61.668,67.65
4.106,2.31,191.122,82.733,7.512,59.557,66.779
4.128,2.39,190.717,86.097,7.543,59.609,68.266
4.151,2.125,190.934,85.927,7.543,61.227,70.666
4.172,2.218,191.146,83.987,7.558,59.491,67.082
4.2,2.68,191.622,85.83,7.512,57.851,67.783
4.225,3.726,189.394,85.748,7.512,57.963,70.333
4.251,2.385,190.849,87.411,7.528,58.02,69.716
4.273,2.374,191.328,87.593,7.543,57.524,69.841
4.298,2.329,190.567,88.966,7.528,56.211,69.981
4.32,2.429,191.138,89.308,7.528,55.396,68.735
4.345,2.337,191.095,89.014,7.512,55.735,69.13
4.366,2.219,191.253,89.102,7.512,54.696,68.316
4.388,2.076,191.454,89.281,7.528,54.9,69.407
4.41,2.075,190.426,89.149,7.543,54.143,71.092
4.435,1.909,191.317,89.027,7.558,56.195,69.194
4.459,1.871,191.854,89.334,7.558,56.079,69.229
4.483,1.738,191.386,89.486,7.558,54.599,68.782
4.509,1.946,191.156,89.251,7.574,55.128,67.222
4.534,1.869,191.232,88.891,7.543,53.611,68.102
4.56,1.972,191.387,88.919,7.558,53.809,66.816
4.587,2.01,190.821,88.904,7.558,54.011,69.693
4.613,1.959,189.881,89.102,7.528,53.837,70.073
4.641,2.128,191.454,88.805,7.558,55.03,69.349
4.669,2.079,190.813,88.792,7.589,54.523,72.12
4.695,1.997,190.591,88.968,7.604,54.954,70.105
4.716,1.994,190.553,88.859,7.574,54.296,69.685
4.743,2.082,190.392,88.642,7.589,54.603,69.485
4.764,2.237,191.04,88.892,7.589,55.084,70.373
4.787,2.125,190.959,88.715,7.589,55.013,70.33
4.816,2.211,190.682,88.965,7.604,56.246,71.264
4.845,2.154,189.863,89.139,7.619,56.043,70.432
4.874,2.166,190.541,89.15,7.589,56.157,69.675
4.895,2.228,190.526,89.222,7.604,55.481,69.778
4.919,2.281,190.535,88.769,7.619,55.721,72.116
4.947,2.083,190.786,88.982,7.635,56.071,70.206
4.975,2.124,190.767,89.36,7.635,55.451,70.798
5.002,2.051,190.553,89.013,7.619,54.307,68.469
5.03,2.149,190.418,88.677,7.635,54.619,68.56
5.051,2.199,190.018,89.287,7.619,54.716,72
5.072,2.021,190.097,88.996,7.619,54.966,69.293
5.093,2.214,189.601,88.934,7.635,55.015,69.2
5.116,2.205,190.543,89.014,7.635,55.769,71.274
5.137,2.168,190.382,88.894,7.619,56.288,70.196
5.159,2.065,190.213,89.043,7.619,56.161,70.523
5.184,1.911,190.186,88.929,7.635,56.999,70.508
5.204,2.168,190.646,88.846,7.635,56.803,70.231
5.232,1.879,190.247,88.978,7.604,55.732,70.5
5.256,2.036,190.445,89.128,7.635,55.379,69.388
5.277,1.986,190.286,89.115,7.65,55.291,69.113
5.301,2.217,190.836,89.021,7.635,56.418,72.331
5.326,1.952,190.356,89.167,7.619,54.993,70.935
5.353,1.984,189.968,89.774,7.65,55.093,73.044
5.379,1.984,190.063,89.969,7.65,53.975,72.541
5.405,1.962,190.84,89.609,7.635,53.211,71.395
5.432,2.026,190.798,89.487,7.665,54.325,73.998
5.458,1.952,189.811,89.165,7.681,54.847,71.044
5.485,1.972,189.606,88.907,7.665,55.314,72.616
5.51,1.93,190.628,88.853,7.681,55.078,70.421
5.538,2.034,190.311,89.02,7.681,54.854,69.959
5.558,2.192,190.33,89.097,7.665,55.251,73.213
5.578,1.922,190.406,88.984,7.681,56.077,71.985
5.6,2.047,190.118,88.936,7.681,54.727,71.707
5.625,1.93,190.299,88.926,7.681,54.695,72.429
5.653,2.058,190.88,88.861,7.696,55.542,69.793
5.673,2.155,189.835,88.773,7.711,55.688,70.736
5.695,2.081,190.701,88.788,7.711,55.682,70.942
5.715,2.173,190.897,89.202,7.711,54.538,71.413
5.737,2.077,190.703,89.379,7.711,53.718,73.346
5.766,2.119,189.818,88.946,7.711,55.002,71.889
5.793,2.08,190.142,89.318,7.727,55.758,71.746
5.822,2.122,190.395,88.899,7.727,56.155,72.123
5.842,2.166,189.827,88.803,7.727,55.575,71.995
5.863,2.01,190.142,88.946,7.742,56.381,73.332
5.89,2.058,190.657,88.895,7.742,55.284,70.346
5.914,2.257,190.595,88.665,7.727,57.059,71.476
5.937,2.465,190.152,88.6,7.696,58.046,73.252
5.958,2.328,190.468,88.955,7.727,56.909,71.958
5.983,2.297,189.854,89.232,7.711,56.175,73.44
